city_lat,city_lon,city_class
0.8295619747899128,-2.132151810101589,Newcastle
0.701751513666368,-1.3051572146413597,Morrisville
0.709478086264947,-1.2906640005327987,Brooklyn
0.6665831292386823,-1.481161452400224,Frankfort
0.7548339575365236,-1.379583289934154,Youngstown
0.6550133416272119,-1.3522043099581187,Richmond
0.5979253671237295,-2.071080994245055,Santa Susana
0.530039040538158,-1.589797726361359,Oak Hills Place
0.7198575593265572,-1.4983040763133122,Warsaw
0.6349193659490012,-1.509182713540993,Gallatin
0.4565659150169527,-1.3986981359019957,Wilton Manors
0.5914711395498544,-2.046880258836902,March ARB
0.5182720307212122,-1.6696831915543915,Mission Bend
0.5640153650867316,-1.5745051514553847,Jackson
0.5800566862418114,-1.5276308437345727,Tuscaloosa
0.6978995720072165,-1.3137355079149118,Penn Wynne
0.44691075359492005,-1.402614654743471,West Perrine
0.7238648352891363,-1.4233090236843677,Shaker Heights
0.7189325348230002,-1.2775007273142576,Bridgeport
0.5892720246923415,-1.4734418611186528,Atlanta
0.6775106356854188,-1.3454062525216008,Alexandria
0.45808958745394374,-1.3999617542804397,Margate
0.7113944577836367,-1.2843720885793593,Westbury
0.5165860426637856,-1.6676970068656218,Fifth Street
0.5313358201723898,-1.7048201600555413,Wells Branch
0.5203350098970695,-1.6590698443730136,Highlands
0.6752102917312903,-2.117913414063819,Foothill Farms
0.6800029658572667,-1.3431146352137324,Hyattsville
0.5935044481284277,-1.4686806029192123,Duluth
0.7139077319065086,-1.2954078054397193,Totowa
0.5384375648987547,-1.4534892571098539,Valdosta
0.45063528621867593,-1.4013143844507352,Miami Springs
0.710406601427008,-1.2864437944014766,Elmont
0.7129687447689356,-1.2892083959366356,Bronx
0.7102896643671243,-1.2962438181514246,Union
0.7302021258031276,-1.5304198798792596,Chicago
0.70975210295751,-1.294882461334869,Elizabeth
0.587591272622671,-1.3932823792330573,Kingstree
0.6411205207813371,-1.327209449740308,Virginia Beach
0.5170276109645402,-1.6708560528117316,Pecan Grove
0.5898043501141998,-2.065029937728391,Lomita
0.7102495217943284,-1.290232904207556,New York
0.7847611182204705,-1.627830196091567,Minneapolis
0.7520676106721126,-1.4609086517600818,Beecher
0.6496272555555574,-1.3485862424187345,Prince George
0.5870641831885687,-1.4741748994044905,College Park
0.7125079778464092,-1.2910898608702854,Edgewater
0.522916351860769,-1.5735085684524959,Jefferson
0.7111378943835935,-1.2920340839956141,Hoboken
0.6970164354057075,-1.310869677283137,Camden
0.650021699966508,-1.3513857505389335,Ettrick
0.6123121161479187,-1.566998490342557,Germantown
0.7124817979076292,-1.2913324616363124,Cliffside Park
0.493999736813727,-1.4209929717669714,Kissimmee
0.7450531324083474,-1.2893515129352988,Westmere
0.5747404133402367,-1.3963105254852675,Hanahan
0.5220681218442998,-1.6646671152841597,Aldine
0.6581182823665098,-2.132092468907021,San Leandro
0.519863770999031,-1.6648433935386109,Houston
0.5154952118812892,-1.6662588555619784,Fresno
0.631311770385129,-1.514670028709263,Nashville
0.7161888772388652,-1.3132153997978173,Penn Estates
0.5000106507575954,-1.4197520426688033,Fern Park
0.6125390089506779,-1.3750785951347564,Eastover
0.5923961640534113,-1.4715254895999632,Dunwoody
0.5923315868710876,-2.0489275300494914,Riverside
0.727629510485688,-1.5376717229212962,Bolingbrook
0.592856930975938,-2.063759338032939,Florence-Graham
0.6212377299426176,-1.3504659620231325,Greenville
0.6564706915526272,-1.352745362026237,Dumbarton
0.5833937557716247,-1.517146650917843,Lipscomb
0.7105846250107114,-1.2863146400368288,South Floral Park
0.7118046101578555,-1.2909537251886298,Manhattan
0.5861129787462318,-1.4849924501083513,Carrollton
0.8220134257750373,-2.136689666156774,Spanaway
0.7398258712986243,-1.2434127016935563,Waltham
0.7169777660607666,-1.4228255674815653,Akron
0.5658985753496334,-1.5733811594171,Ridgeland
0.5674065398233565,-1.481384854544479,Columbus
0.5250770694747381,-1.675327586355341,Prairie View
0.5163102806419705,-1.6712627145274461,Richmond
0.7378536492438708,-1.461381635987372,Ann Arbor
0.7416270510866825,-1.4525904125450766,Lathrup Village
0.5930070292916093,-1.4143258140243529,Olympia
0.7350541411236718,-1.2660531127504266,Springfield
0.7872674110263342,-1.6267795078818668,Mounds View
0.5863293995734791,-1.4759010300347128,Union City
0.7248020770974573,-1.2919520535207705,Balmville
0.5331404906189519,-1.590387647648533,Brownfields
0.6790151095006379,-1.344188012703709,Washington
0.7310695544413688,-1.53222280499657,Oak Park
0.7849635764137016,-2.164333936179112,Lincoln City
0.5619174793258345,-1.9367779083040915,South Tucson
0.7240009709707917,-1.4276932907653774,Lakewood
0.6253933588916162,-1.3725775383166485,Raleigh
0.7066314542549442,-1.2993103616471786,New Brunswick
0.7137174910180412,-1.288154217068431,Pelham Manor
0.6834883883734995,-1.3180761417646216,Dover
0.7838919442529771,-1.1696899940893157,Eastport
0.6718418062749412,-2.1428000638680063,Fulton
0.6101845597897375,-1.5681242277100933,Olive Branch
0.7395989784958651,-1.2412519840795873,Cambridge
0.5933334058617323,-2.065567499138005,View Park-Windsor Hills
0.6983341589909632,-1.3129815256780504,Bala Cynwyd
0.5905251710952735,-2.0654505620781216,Torrance
0.5704975179286386,-1.6933324029189143,Grand Prairie
0.7321045346878015,-1.4835106655734083,Coldwater
0.5315417690241251,-1.4704870186950265,Tallahassee
0.7084169260797344,-1.2868225308491592,Atlantic Beach
0.724864908950529,-1.4238291318014622,East Cleveland
0.5195199411363881,-1.6622690328919194,Jacinto City
0.5184326010123956,-1.666127955868079,Bellaire
